numero_college,nom_etablissement,note_a_l_ecrit_g,va_de_la_note_g,pourcentage_hors_segpa_hors_ulis,pourcenetage_allemand_lv1,pourcentage_filles,ips,ecart_type_de_l_ips,ep_2022_2023,region_academique
0341364Y,Collège Gérard Philipe,8.8,-0.5,95.934959349593495935000,0.000000000000000000000,43.089430894308943089000,82.7,27.7,REP,OCCITANIE
0660051X,Collège Albert Camus,8.6,-0.3,100.000000000000000000000,0.000000000000000000000,53.684210526315789474000,72.4,24.5,REP,OCCITANIE
0660522J,Collège Marcel Pagnol,8.5,0.0,90.243902439024390244000,0.000000000000000000000,51.219512195121951220000,63.3,15.9,REP+,OCCITANIE
0311319R,Collège Louisa Paulin,9.8,-1.0,86.238532110091743119000,0.000000000000000000000,52.752293577981651376000,92.0,32.9,HORS EP,OCCITANIE
0311265G,Collège Rosa PARKS,7.9,-0.8,86.000000000000000000000,0.000000000000000000000,46.000000000000000000000,78.9,25.2,REP+,OCCITANIE
0311630D,Collège Stendhal,9.5,0.8,79.220779220779220779000,0.000000000000000000000,50.649350649350649351000,74.6,22.3,REP+,OCCITANIE
0810787R,Collège Victor Hugo,10.6,0.0,95.145631067961165049000,0.000000000000000000000,50.485436893203883495000,89.9,31.3,REP,OCCITANIE
0810960D,Collège Jean Jaurès,11.6,-0.1,96.850393700787401575000,0.000000000000000000000,50.393700787401574803000,108.6,35.1,HORS EP,OCCITANIE
0810961E,Collège Thomas Pesquet,10.5,0.1,98.039215686274509804000,0.000000000000000000000,45.098039215686274510000,80.8,28.0,HORS EP,OCCITANIE
0810127Y,Collège Marcel Pagnol,10.9,0.5,100.000000000000000000000,0.000000000000000000000,51.219512195121951220000,88.0,29.8,REP,OCCITANIE
0441727N,Collège Arthur Rimbaud,11.3,0.0,96.590909090909090909000,0.000000000000000000000,65.909090909090909091000,86.7,25.4,REP,PAYS-DE-LA-LOIRE
0440284V,Collège Stendhal,9.4,1.2,100.000000000000000000000,0.000000000000000000000,51.376146788990825688000,78.7,32.3,REP+,PAYS-DE-LA-LOIRE
0441616T,Collège Julien Lambot,11.1,0.0,86.842105263157894737000,0.000000000000000000000,55.263157894736842105000,88.0,26.5,REP,PAYS-DE-LA-LOIRE
0720797A,Collège Joséphine Baker,9.6,0.1,84.000000000000000000000,0.000000000000000000000,54.000000000000000000000,78.0,24.6,REP+,PAYS-DE-LA-LOIRE
0720800D,Collège Albert Camus,10.9,-0.2,96.052631578947368421000,0.000000000000000000000,38.157894736842105263000,101.6,36.4,HORS EP,PAYS-DE-LA-LOIRE
0040055N,Collège Jean Giono,9.4,-1.2,82.165605095541401274000,6.369426751592356688000,46.496815286624203822000,87.8,30.2,REP,PROVENCE-ALPES-COTE-D'AZUR
0132409Y,Collège Alphonse Daudet,10.4,0.2,84.137931034482758621000,0.000000000000000000000,44.137931034482758621000,84.3,31.5,REP,PROVENCE-ALPES-COTE-D'AZUR
0131261A,Collège Auguste Renoir,9.2,0.7,100.000000000000000000000,0.000000000000000000000,40.196078431372549020000,71.2,19.6,REP+,PROVENCE-ALPES-COTE-D'AZUR
0132314V,Collège Jean Giono,10.5,1.2,94.326241134751773050000,0.000000000000000000000,45.390070921985815603000,87.3,27.7,REP,PROVENCE-ALPES-COTE-D'AZUR
0132207D,Collège Jules Massenet,7.9,0.0,98.561151079136690647000,0.000000000000000000000,46.043165467625899281000,72.5,18.1,REP+,PROVENCE-ALPES-COTE-D'AZUR
